atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,source,construction_guard_s
P01_GAMMA04_M014_00,P01_GAMMA04_M014_00,P01,M014,5816.59375,5824.125,7.53125,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M014_01,P01_GAMMA04_M014_01,P01,M014,5837.125,5862.46875,25.34375,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M014_02,P01_GAMMA04_M014_02,P01,M014,5869.96875,6281.3125,411.34375,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M014_03,P01_GAMMA04_M014_03,P01,M014,6288.84375,6314.15625,25.3125,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M014_04,P01_GAMMA04_M014_04,P01,M014,6327.15625,6334.71875,7.5625,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M015_00,P01_GAMMA04_M015_00,P01,M015,2275.71875,2602.03125,326.3125,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M016_00,P01_GAMMA04_M016_00,P01,M016,2197.90625,2752.875,554.96875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M017_00,P01_GAMMA04_M017_00,P01,M017,2916.28125,4052.84375,1136.5625,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M018_00,P01_GAMMA04_M018_00,P01,M018,3662.0625,4181.03125,518.96875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M019_00,P01_GAMMA04_M019_00,P01,M019,5169.25,6204.84375,1035.59375,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M020_00,P01_GAMMA04_M020_00,P01,M020,2484.75,2940.09375,455.34375,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M021_00,P01_GAMMA04_M021_00,P01,M021,5312.65625,6085.125,772.46875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M022_00,P01_GAMMA04_M022_00,P01,M022,7332.625,7340.15625,7.53125,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M022_01,P01_GAMMA04_M022_01,P01,M022,7353.15625,7378.5,25.34375,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M022_02,P01_GAMMA04_M022_02,P01,M022,7386.0,7933.25,547.25,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M022_03,P01_GAMMA04_M022_03,P01,M022,7940.75,7966.09375,25.34375,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M022_04,P01_GAMMA04_M022_04,P01,M022,7979.0625,7986.625,7.5625,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M023_00,P01_GAMMA04_M023_00,P01,M023,7256.28125,7809.25,552.96875,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M024_00,P01_GAMMA04_M024_00,P01,M024,7587.0,8431.5625,844.5625,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M025_00,P01_GAMMA04_M025_00,P01,M025,3155.71875,3581.0625,425.34375,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M026_00,P01_GAMMA04_M026_00,P01,M026,8638.375,8962.5,324.125,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M027_00,P01_GAMMA04_M027_00,P01,M027,9303.75,9962.5625,658.8125,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA04_M028_00,P01_GAMMA04_M028_00,P01,M028,9734.15625,10019.9375,285.78125,4.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
